candidate_id,severity,num_violations,num_hard,rules,details
CAND_0016000,HARD,5,5,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='TypeScript' prof=expert dur=0 | skill.proficient_zero_duration: skill='Go' prof=expert dur=0 | skill.proficient_zero_duration: skill='Docker' prof=expert dur=0 | skill.proficient_zero_duration: skill='Hadoop' prof=expert dur=0 | skill.proficient_zero_duration: skill='Photoshop' prof=expert dur=0
CAND_0046649,HARD,5,5,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='SAP' prof=expert dur=0 | skill.proficient_zero_duration: skill='Node.js' prof=expert dur=0 | skill.proficient_zero_duration: skill='gRPC' prof=expert dur=0 | skill.proficient_zero_duration: skill='Flask' prof=expert dur=0 | skill.proficient_zero_duration: skill='Hadoop' prof=expert dur=0
CAND_0056983,HARD,5,5,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='Rust' prof=expert dur=0 | skill.proficient_zero_duration: skill='Next.js' prof=expert dur=0 | skill.proficient_zero_duration: skill='Redis' prof=expert dur=0 | skill.proficient_zero_duration: skill='Salesforce CRM' prof=expert dur=0 | skill.proficient_zero_duration: skill='MongoDB' prof=expert dur=0
CAND_0060642,HARD,5,5,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='Milvus' prof=expert dur=0 | skill.proficient_zero_duration: skill='Agile' prof=expert dur=0 | skill.proficient_zero_duration: skill='Azure' prof=expert dur=0 | skill.proficient_zero_duration: skill='Diffusion Models' prof=expert dur=0 | skill.proficient_zero_duration: skill='MongoDB' prof=expert dur=0
CAND_0061722,HARD,5,5,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='Terraform' prof=expert dur=0 | skill.proficient_zero_duration: skill='GANs' prof=expert dur=0 | skill.proficient_zero_duration: skill='Milvus' prof=expert dur=0 | skill.proficient_zero_duration: skill='MongoDB' prof=expert dur=0 | skill.proficient_zero_duration: skill='Speech Recognition' prof=expert dur=0
CAND_0063888,HARD,5,5,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='Project Management' prof=expert dur=0 | skill.proficient_zero_duration: skill='Accounting' prof=expert dur=0 | skill.proficient_zero_duration: skill='MLOps' prof=expert dur=0 | skill.proficient_zero_duration: skill='React' prof=expert dur=0 | skill.proficient_zero_duration: skill='Webpack' prof=expert dur=0
CAND_0070429,HARD,5,5,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='MLOps' prof=expert dur=0 | skill.proficient_zero_duration: skill='Figma' prof=expert dur=0 | skill.proficient_zero_duration: skill='Accounting' prof=expert dur=0 | skill.proficient_zero_duration: skill='YOLO' prof=expert dur=0 | skill.proficient_zero_duration: skill='Java' prof=expert dur=0
CAND_0073853,HARD,5,5,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='CI/CD' prof=expert dur=0 | skill.proficient_zero_duration: skill='Marketing' prof=expert dur=0 | skill.proficient_zero_duration: skill='GCP' prof=expert dur=0 | skill.proficient_zero_duration: skill='Excel' prof=expert dur=0 | skill.proficient_zero_duration: skill='AWS' prof=expert dur=0
CAND_0033817,HARD,4,4,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='JavaScript' prof=expert dur=0 | skill.proficient_zero_duration: skill='BigQuery' prof=expert dur=0 | skill.proficient_zero_duration: skill='Six Sigma' prof=expert dur=0 | skill.proficient_zero_duration: skill='gRPC' prof=expert dur=0
CAND_0046689,HARD,4,4,skill.proficient_zero_duration,skill.proficient_zero_duration: skill='Node.js' prof=expert dur=0 | skill.proficient_zero_duration: skill='SQL' prof=expert dur=0 | skill.proficient_zero_duration: skill='gRPC' prof=expert dur=0 | skill.proficient_zero_duration: skill='Spark' prof=expert dur=0
